SMILES	Group	RDMol
CCNc1[nH]c(-c2cc(F)c(F)cc2F)nc1C(=O)NCc1cccc(OC)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d0d0>
CCCCN(CCC)c1cc(C)nc2c(-c3ccccn3)c(C)nn12	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d530>
NC1=NC(c2cccc(-c3ccccc3)c2)CC(=O)C1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372df80>
CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cccc(Cl)c4)cc32)N=C1N	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372da80>
Nc1cc(C(=O)NC(Cc2ccccc2)C(O)CNCc2ccc3ccccc3c2)cc(-c2ccccc2)n1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d850>
Cc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)ccn1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d210>
NC1=NC(=O)C2CCCN2c2ccc(cc2)OCCCCCNCC(O)C(Cc2ccccc2)NC(=O)C2CCCN2C1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d350>
NCc1cc(Br)cc(C(=O)Nc2ccc(Cl)c(Cl)c2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d620>
CCc1ccc2c(c1)C(NCC(O)C1Cc3cccc(c3)OCCCCC(=O)N1)OC2	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d940>
COc1ccc(N2CC3C(=O)N(C)C(N)=NC3(c3ccc(F)cc3F)C2)nc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d990>
CCc1cc(CC2C=[SH](O)(O)CC(NCc3cccc(C(C)(C)C)c3)C2=O)ccc1F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d6c0>
CSc1cc(C(=O)Nc2ccc(F)c(C3(C)C=C(CO)C(N)=N3)c2)ncc1F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372dc60>
COc1cnc(NC(=O)c2ccc(F)c(OCc3cccnc3)c2)c(OC)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d3f0>
Cc1cc(CC(NC(=O)c2c(-c3cccc(F)c3)c(=O)ccn2-c2cccc(F)n2)C(F)(F)F)ccc1F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d580>
N#Cc1ccnc(Nc2ccc(F)c(-c3ccccc3)c2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372dd50>
CC(C)CC(NC(=O)C(NC(=O)C(N)CNC(=O)c1nn[nH]n1)C(C)C)C(C)C	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372dd00>
O=S(=O)(c1ccc(OCC#CC2CCCN2)cc1)c1ccc(OCC(F)(F)F)nc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d3a0>
COCCOc1cc(CC2CS(=O)(=O)CC(NCc3cccc(C(C)C)c3)C2O)ccc1O	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d260>
Cc1ccc(S(=O)(=O)NCC(O)CNc2cccc(Br)c2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372de40>
NC1=NC2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2ccnc(F)c2)nc1F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d2b0>
CCCOc1ccc(C=NNc2ccc(Cl)cc2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372da30>
CCc1nc(N2CC3C(=O)N(C)C(N)=NC3(c3ccc(F)cc3Cl)C2)nc(C)c1F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372dcb0>
CCNC(=O)Oc1cccc(C2(C)CCSC(N)=N2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d8a0>
COc1cnc(C(=O)Nc2cc(F)c(F)c(C3(C)CC(C(F)(F)F)OC(N)=N3)c2)c(F)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372de90>
CC1=NC(=S)NC(c2ccc3c(c2)OCO3)C1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d120>
O=C(Nc1cc(Br)ccc1N1CCN(Cc2ccccc2)CC1)c1ccccc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bf260>
O=C(Nc1cc(Br)ccc1N1CCN(Cc2ccccc2)CC1)c1cc2ccccc2oc1=O	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bf170>
CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1ccc(N3CCOCC3)cc12	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bf3f0>
Cc1cc(C)cc(CNC(=O)c2cc(N)cc(Nc3cccnc3)c2O)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bf620>
CC(OC1CCCNC1)c1ccc(F)c(COc2ccc3c(c2)C2(CCCC2)CC3)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bfa80>
N#Cc1ccc(C(=O)Nc2cc(F)c(F)c(C3(CF)N=C(N)OC4CC43)c2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bfdf0>
CCN(Cc1ccccc1)Cc1ccc(-c2cc3cccc(N)c3oc2=O)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bfee0>
Cc1ccc(C(=O)NCC(=O)NC2CCCc3ccccc32)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bff30>
NC1=NC(=O)C(Cc2ccccc2)N1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bfe90>
COc1ccc(CN(Cc2ccccc2)C2=NCCC2(C)C)cc1OC	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bfe40>
O=C1c2ccc(O)cc2OCC1Cc1ccc(Cl)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bfbc0>
CN1C(=O)C(c2ccc(OC(F)F)cc2)(c2ccc(F)c(-c3cccnc3F)c2)N=C1N	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bfd00>
COCC(Oc1cc(F)cc(CC2CS(=O)(=O)CC(NCc3cccc(C(C)(C)C)c3)C2O)c1)c1ccccc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bf6c0>
COc1cncc(OC)c1C1CCCC(NC(=O)c2cc3ccccn3n2)C1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bf530>
COc1cc(C=Cc2ccccc2N2CCNCC2)ccc1Cl	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bfb70>
CC(=O)Nc1cccc(-c2ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bd440>
CC(C)CNC(=O)C(CCC(=O)NO)CC(C)(C)C	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bd1c0>
COc1ccc(OCC(=O)Oc2cc(C)ccc2C)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738bd940>
NC(CCc1ccccc1)C(=O)Nc1cccc(-c2ccccc2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef030>
COc1cccc(-c2[nH]c(O)c(O)c2C(O)C(C)(C)C)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef080>
CN1C(N)=NC(C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS1(C)C	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef0d0>
NC1=NC(c2cccc(OC(F)(F)F)c2)(c2ccc(Cl)c(F)c2)N=C1N	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef120>
CN1C(=O)CC2(NC(=O)c3ccc(Cl)cc32)C12COC2	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef170>
COc1ccc(-c2cc(C(=O)NCc3cc(F)c(C)cc3C)nc(C)c2C)cn1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef1c0>
Cc1cc(Br)cnc1C(=O)Nc1cccc(C2(C)CCCCC2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef210>
CC(=NNC(=O)c1nnn(-c2ccccc2)c1-c1ccc(C)cc1)c1ccc(Cl)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef260>
CNCC(O)C(Cc1cccc(-c2ccsc2)c1)NC(=O)COC	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef2b0>
NS(=O)(=O)c1ccc(-c2cn(-c3cccc(Br)c3)nn2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef300>
N#Cc1cc(CC=CCCCCc2ccccc2)c(O)c(Cc2ccc(Cl)cc2Cl)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef350>
CC1(c2cc(Br)cc(NC(=O)c3cc(C(F)(F)F)cnc3Cl)c2)CCSC(N)=N1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef3a0>
O=C(C=Cc1ccc(OCc2ccccc2)cc1)c1ccc(O)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef3f0>
NC1=NC(c2cc(NC(=O)c3cnc(Cl)cn3)ccc2F)(C(F)F)COC1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef440>
O=C(CC1CC(OCc2ccccc2)CN1C(=O)Nc1ccc(F)cc1)c1ccccc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef490>
CCCCN(C(=O)N(C)C)c1cc2nc(-c3cncs3)ccc2nc1C	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef4e0>
COc1ccccc1CNC(=O)C1CCOCC1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef530>
Oc1c(Cc2ccccc2)cc(-c2ccccc2)cc1-c1ccccc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef580>
CCOC(=O)C(C#N)=CC(C(=O)N1CCCCC1)=C(C)c1ccccc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef5d0>
C=CCC=CCCN=C(N)N	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef620>
O=S(=O)(c1ccc(Cl)cc1)N1CCN(c2ccccn2)CC1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef670>
COc1cccc(-c2nc(SCC(=O)Nc3ccc4c(c3)OCCO4)c(-c3ccccc3)[nH]2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f63d9eef6c0>
